Sr. No.,BarCode,Parent Barcode,HSN/SAC,Item Name,MRP per quantity,Price (Rs),Suggested Profit Per Quantity,Suggested Profit,Paid Cost per quantity,Quantity,Total Value(Incl.of Tax)(Rs),Selling per quantity,Profit Per Quantity,Profit,,Suggested Profit Percent,Profit Percent,,Suggested Profit Total,Auctual Profit,
17,581040325,,19053100,Nestle Kitkat 2F Chocolate coaated Wafer (18.5g Pack of 30),600,-,62.6,62.6,537.4,1,537.4,600,62.6,62.6,,11.65%,11.65%,,,,0
,8901058016116,581040325,19053100,Nestle Kitkat 2F Chocolate coaated Wafer,20,,,0,20,,,20,0,0,,0.00%,0.00%,,,,0
12,8901063363922,,19059010,Britannia Strawberry Muffills 35 g (With Egg),10,-,0.7,4.2,9.3,6,55.8,10,0.7,4.2,,7.53%,7.53%,,,,0
13,8901063362741,,19059010,Britannia Fruit Cake 50 g (With Egg),15,-,1.05,6.3,13.95,6,83.7,15,1.05,6.3,,7.53%,7.53%,,,,0
14,8908008674808,,19053219,Nabati Richoco Choco Cream Wafer Biscuits (33g),10,-,1.2,7.2,8.8,6,52.8,10,1.2,7.2,,13.64%,13.64%,,,,0
10,8901719127113,,19059020,Parle Platina Hide & Seek Milano Chocolate Chip Biscuits 150 g,120,-,60,300,60,5,300,120,60,300,,100.00%,100.00%,,,,0
62,8901571010790,,30049011,Eno Lemon Flavour Fruit Salt 5 g (Pack of 6),60,-,10.9,32.7,49.1,3,147.3,60,10.9,32.7,,22.20%,22.20%,,,,0
,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,0
59,581040097,,33051010,Dove Daily Shine Shampoo 5.5 ml (Pack of 48),96,-,23.4,70.2,72.6,3,217.8,96,23.4,70.2,,32.23%,32.23%,,,,0
,8901030996375,581040097,33051010,Dove Daily Shine Shampoo 5.5 ml ,2,,,0,2,,,2,0,0,,0.00%,0.00%,,,,0
11, ammmlost-barcode,,33051010,Meera Herbal Hair Wash Powder Pouch (5g Pack of 50),200,-,27.07,27.07,172.93,1,172.93,200,27.07,27.07,,15.65%,15.65%,,,,0
,8902979023146, ammmlost-barcode,33051010,Meera Herbal Hair Wash Powder Pouch sachet,4,,,0,4,,,4,0,0,,0.00%,0.00%,,,,0
8,581038677,,33051010,"Meera Hairfall Care Shampoo Shikakai & Badam (6ml, Pack of 60)",120,-,21,126,99,6,594,120,21,126,,21.21%,21.21%,,,,0
,8902979022682,581038677,33051010,Meera Hairfall Care Shampoo Shikakai & Badam Schachet,2,,0,0,2,,,2,0,0,,0.00%,0.00%,,,,0
56,parent-8901023007408,,34011190,Godrej No. 1 Sandal & Turmeric Soap 100 g (Buy 4 Get 1 Free),140,-,17.99,53.97,122.01,3,366.03,140,17.99,53.97,,14.74%,14.74%,,,,0
,8901023007408,parent-8901023007408,34011190,Godrej No. 1 Sandal & Turmeric Soap 100 g,35,,,0,35,,,35,0,0,,0.00%,0.00%,,,,0
22,8903183302508,,96081011,ITC Octane Gel Pen Blue & Black Assorted Jar (25pc),250,-,74.99,149.98,175.01,2,350.02,250,74.99,149.98,,42.85%,42.85%,,,,0
,,,,,,,,,,,,,,,,,,,,,
,8901786101009,,9109100,Everest Garam Masala 100 g,100,,5,25,95,5,475,100,5,25,,5.26%,5.26%,,,,
,8901786130504,,9109100,Everest Sabji Masala 50 g,38,,1.9,7.6,36.1,4,144.4,38,1.9,7.6,,5.26%,5.26%,,,,
,8901262151863,,4015000,Amul Fresh Cream 250 ml (Tetra Pak),68,,3.91,15.64,64.09,4,256.36,68,3.91,15.64,,6.10%,6.10%,,,,
,8902102125013,,34011942,Henko Stain Champion Detergent Bar 250 g,35,,2.41,7.23,32.59,3,97.77,35,2.41,7.23,,7.39%,7.39%,,,,
,8909106022478,,34011930,Surf Excel Detergent Bar 80 g,10,,0.84,10.08,9.16,12,109.92,10,0.84,10.08,,9.17%,9.17%,,,,
,7622201448837,,18061000,Cadbury Dairy Milk Shots Chocolate (3.6g x 58),116,,11.16,33.48,104.84,3,314.52,112.652,7.812,23.436,,10.64%,7.45%,,,,
,8901058005028,,19023010,Maggi Nutri-licious Masala Instant Oats Noodles 294 g,140,,13.47,53.88,126.53,4,506.12,135.959,9.429,37.716,,10.65%,7.45%,,,,
,8901786171002,,9109100,Everest Tandoori Chicken Masala 100 g,92,,9.2,36.8,82.8,4,331.2,89.24,6.44,25.76,,11.11%,7.78%,,,,
,8901042954790,,9109100,MTR Puliogare Powder 100 g,70,,7.19,28.76,62.81,4,251.24,67.843,5.033,20.132,,11.45%,8.01%,,,,
,8901499010704,,19041090,Kellogg's Chocos Cereals (110g),75,,7.83,31.32,67.17,4,268.68,72.651,5.481,21.924,,11.66%,8.16%,,,,
,8901058003802,,4022990,Nestle EveryDay Dairy Whitener 15 g (Pouch),10,,1.06,3.18,8.94,3,26.82,9.682,0.742,2.226,,11.86%,8.30%,,,,
,8901030897542,,21032000,Kissan Fresh Tomato Ketchup 90 g,15,,1.73,10.38,13.27,6,79.62,14.481,1.211,7.266,,13.04%,9.13%,,,,
,8901440013501,,9109100,Eastern Kabab Masala Powder (100g),55,,6.35,25.4,48.65,4,194.6,53.095,4.445,17.78,,13.05%,9.14%,,,,
,8901088068772,,11041200,Saffola Masala Oats Curry & Pepper Masala (38g),18,,2.15,12.9,15.85,6,95.1,17.355,1.505,9.03,,13.56%,9.50%,,,,
,8901440013082,,9109100,Eastern Chicken Masala Powder (50g),33,,4.04,12.12,28.96,3,86.88,31.788,2.828,8.484,,13.95%,9.77%,,,,
,8901058000252,,19023010,Maggi 2-Minute Masala Instant Noodles 420 g,90,,11.09,55.45,78.91,5,394.55,86.673,7.763,38.815,,14.05%,9.84%,,,,
,8901058000276,,19023010,Maggi 2-Minute Masala Noodles 140 g,30,,3.7,11.1,26.3,3,78.9,28.89,2.59,7.77,,14.07%,9.85%,,,,
,8908019747102,,11061000,Bhagyalaxmi Gram Flour 500 g,80,,10,60,70,6,420,77,7,42,,14.29%,10.00%,,,,
,8901042954738,,9109100,MTR Rasam Powder (200g),165,,22.02,66.06,142.98,3,428.94,158.394,15.414,46.242,,15.40%,10.78%,,,,
,4987176068897,,34025000,Tide Plus Double Power Jasmine & Rose Detergent Powder 500 g,69,,9.32,27.96,59.68,3,179.04,66.204,6.524,19.572,,15.62%,10.93%,,,,
